FIELD_ID1_Label	PLOT_ID_ANNUAL1_Label	YIELDS42_DRY_WEIGHT_1000_SEEDS	YIELDS42_DRY_WEIGHT
AF100-Bn-Y2	AF100-Bn-Y2-P1	3.48	312.22
AF100-Bn-Y2	AF100-Bn-Y2-P2	3.71	361.76
AF100-Bn-Y2	AF100-Bn-Y2-P3	4.1	110.85
AF100-Bn-Y2	AF100-Bn-Y2-P4	2.79	361.66
AF101-Bn-Y2	AF101-Bn-Y2-P1	3.55	354.2
AF101-Bn-Y2	AF101-Bn-Y2-P2	3.31	338.37
AF101-Bn-Y2	AF101-Bn-Y2-P3	3.89	511.54
AF101-Bn-Y2	AF101-Bn-Y2-P4	3.73	376.37
AF102-Bn-Y2	AF102-Bn-Y2-P1	4.42	582.72
AF102-Bn-Y2	AF102-Bn-Y2-P2	3.71	565.95
AF102-Bn-Y2	AF102-Bn-Y2-P3	3.96	530.23
AF102-Bn-Y2	AF102-Bn-Y2-P4	4	589.38
AF103-Bn-Y2	AF103-Bn-Y2-P1	3.27	121.93
AF103-Bn-Y2	AF103-Bn-Y2-P2	3.39	138.68
AF103-Bn-Y2	AF103-Bn-Y2-P3	3.23	160.99
AF103-Bn-Y2	AF103-Bn-Y2-P4	3.39	169.2
AF104-Bn-Y2	AF104-Bn-Y2-P1	3.59	199.69
AF104-Bn-Y2	AF104-Bn-Y2-P2	3.33	223.4
AF104-Bn-Y2	AF104-Bn-Y2-P3	3.8	139.43
AF104-Bn-Y2	AF104-Bn-Y2-P4	3.89	213.56
AF105-Bn-Y2	AF105-Bn-Y2-P1	3.58	337.29
AF105-Bn-Y2	AF105-Bn-Y2-P2	3.28	122.33
AF105-Bn-Y2	AF105-Bn-Y2-P3	3.81	209.8
AF105-Bn-Y2	AF105-Bn-Y2-P4	3.56	369.79
AF106-Bn-Y2	AF106-Bn-Y2-P1	3.33	38.55
AF106-Bn-Y2	AF106-Bn-Y2-P2	3.81	4.1
AF106-Bn-Y2	AF106-Bn-Y2-P3	3.2	26.84
AF106-Bn-Y2	AF106-Bn-Y2-P4	3.74	29.36
AF107-Bn-Y2	AF107-Bn-Y2-P1	3.85	64.72
AF107-Bn-Y2	AF107-Bn-Y2-P2	3.55	128.12
AF107-Bn-Y2	AF107-Bn-Y2-P3	3.64	36.28
AF107-Bn-Y2	AF107-Bn-Y2-P4	4.9	59.28
AF108-Bn-Y2	AF108-Bn-Y2-P1	3.59	397.63
AF108-Bn-Y2	AF108-Bn-Y2-P2	3.76	423
AF108-Bn-Y2	AF108-Bn-Y2-P3	3.57	409.88
AF108-Bn-Y2	AF108-Bn-Y2-P4	NA	NA
AF109-Bn-Y2	AF109-Bn-Y2-P1	3.45	352.88
AF109-Bn-Y2	AF109-Bn-Y2-P2	3.11	407.2
AF109-Bn-Y2	AF109-Bn-Y2-P3	3.86	436.04
AF109-Bn-Y2	AF109-Bn-Y2-P4	NA	NA
AF110-Bn-Y2	AF110-Bn-Y2-P1	3.61	242.24
AF110-Bn-Y2	AF110-Bn-Y2-P2	3.71	227.28
AF110-Bn-Y2	AF110-Bn-Y2-P3	3.81	182.26
AF110-Bn-Y2	AF110-Bn-Y2-P4	4.18	585.95
AF111-Bn-Y2	AF111-Bn-Y2-P1	3.73	88.66
AF111-Bn-Y2	AF111-Bn-Y2-P2	3.18	66.18000000000001
AF111-Bn-Y2	AF111-Bn-Y2-P3	3.8	88.36
AF111-Bn-Y2	AF111-Bn-Y2-P4	3.6	229.12
AF112-Bn-Y2	AF112-Bn-Y2-P1	3.51	184.95
AF112-Bn-Y2	AF112-Bn-Y2-P2	3.9	310.83
AF112-Bn-Y2	AF112-Bn-Y2-P3	3.49	198.49
AF112-Bn-Y2	AF112-Bn-Y2-P4	3.51	159.2
AF113-Bn-Y2	AF113-Bn-Y2-P1	3.64	122.3
AF113-Bn-Y2	AF113-Bn-Y2-P2	3.71	246.8
AF113-Bn-Y2	AF113-Bn-Y2-P3	3.54	212.34
AF113-Bn-Y2	AF113-Bn-Y2-P4	3.68	186.4
AF114-Bn-Y2	AF114-Bn-Y2-P1	3.5	100.88
AF114-Bn-Y2	AF114-Bn-Y2-P2	3.83	183.86
AF114-Bn-Y2	AF114-Bn-Y2-P3	3.85	192
AF114-Bn-Y2	AF114-Bn-Y2-P4	3.75	225.17
AF115-Bn-Y2	AF115-Bn-Y2-P1	3.58	97
AF115-Bn-Y2	AF115-Bn-Y2-P2	3.22	592.4299999999999
AF115-Bn-Y2	AF115-Bn-Y2-P3	3.94	157.95
AF115-Bn-Y2	AF115-Bn-Y2-P4	3.93	166.4
AF116-Bn-Y2	AF116-Bn-Y2-P1	3.48	312.22
AF116-Bn-Y2	AF116-Bn-Y2-P2	3.71	361.76
AF116-Bn-Y2	AF116-Bn-Y2-P3	4.1	110.85
AF116-Bn-Y2	AF116-Bn-Y2-P4	2.79	361.66
AF117-Bn-Y2	AF117-Bn-Y2-P1	3.55	354.2
AF117-Bn-Y2	AF117-Bn-Y2-P2	3.31	338.37
AF117-Bn-Y2	AF117-Bn-Y2-P3	3.89	511.54
AF117-Bn-Y2	AF117-Bn-Y2-P4	3.73	376.37
AF118-Bn-Y2	AF118-Bn-Y2-P1	4.42	582.72
AF118-Bn-Y2	AF118-Bn-Y2-P2	3.71	565.95
AF118-Bn-Y2	AF118-Bn-Y2-P3	3.96	530.23
AF118-Bn-Y2	AF118-Bn-Y2-P4	4	589.38
AF119-Bn-Y2	AF119-Bn-Y2-P1	3.27	121.93
AF119-Bn-Y2	AF119-Bn-Y2-P2	3.39	138.68
AF119-Bn-Y2	AF119-Bn-Y2-P3	3.23	160.99
AF119-Bn-Y2	AF119-Bn-Y2-P4	3.39	169.2
AF120-Bn-Y2	AF120-Bn-Y2-P1	3.59	199.69
AF120-Bn-Y2	AF120-Bn-Y2-P2	3.33	223.4
AF120-Bn-Y2	AF120-Bn-Y2-P3	3.8	139.43
AF120-Bn-Y2	AF120-Bn-Y2-P4	3.89	213.56
AF121-Bn-Y2	AF121-Bn-Y2-P1	3.58	337.29
AF121-Bn-Y2	AF121-Bn-Y2-P2	3.28	122.33
AF121-Bn-Y2	AF121-Bn-Y2-P3	3.81	209.8
AF121-Bn-Y2	AF121-Bn-Y2-P4	3.56	369.79
AF122-Bn-Y2	AF122-Bn-Y2-P1	3.33	38.55
AF122-Bn-Y2	AF122-Bn-Y2-P2	3.81	4.1
AF122-Bn-Y2	AF122-Bn-Y2-P3	3.2	26.84
AF122-Bn-Y2	AF122-Bn-Y2-P4	3.74	29.36
AF123-Bn-Y2	AF123-Bn-Y2-P1	3.85	64.72
AF123-Bn-Y2	AF123-Bn-Y2-P2	3.55	128.12
AF123-Bn-Y2	AF123-Bn-Y2-P3	3.64	36.28
AF123-Bn-Y2	AF123-Bn-Y2-P4	4.9	59.28
AF124-Bn-Y2	AF124-Bn-Y2-P1	3.59	397.63
AF124-Bn-Y2	AF124-Bn-Y2-P2	3.76	423
AF124-Bn-Y2	AF124-Bn-Y2-P3	3.57	409.88
AF124-Bn-Y2	AF124-Bn-Y2-P4	NA	NA
AF125-Bn-Y2	AF125-Bn-Y2-P1	3.45	352.88
AF125-Bn-Y2	AF125-Bn-Y2-P2	3.11	407.2
AF125-Bn-Y2	AF125-Bn-Y2-P3	3.86	436.04
AF125-Bn-Y2	AF125-Bn-Y2-P4	NA	NA
AF126-Bn-Y2	AF126-Bn-Y2-P1	3.61	242.24
AF126-Bn-Y2	AF126-Bn-Y2-P2	3.71	227.28
AF126-Bn-Y2	AF126-Bn-Y2-P3	3.81	182.26
AF126-Bn-Y2	AF126-Bn-Y2-P4	4.18	585.95
AF127-Bn-Y2	AF127-Bn-Y2-P1	3.73	88.66
AF127-Bn-Y2	AF127-Bn-Y2-P2	3.18	66.18000000000001
AF127-Bn-Y2	AF127-Bn-Y2-P3	3.8	88.36
AF127-Bn-Y2	AF127-Bn-Y2-P4	3.6	229.12
AF128-Bn-Y2	AF128-Bn-Y2-P1	3.51	184.95
AF128-Bn-Y2	AF128-Bn-Y2-P2	3.9	310.83
AF128-Bn-Y2	AF128-Bn-Y2-P3	3.49	198.49
AF128-Bn-Y2	AF128-Bn-Y2-P4	3.51	159.2
AF129-Bn-Y2	AF129-Bn-Y2-P1	3.64	122.3
AF129-Bn-Y2	AF129-Bn-Y2-P2	3.71	246.8
AF129-Bn-Y2	AF129-Bn-Y2-P3	3.54	212.34
AF129-Bn-Y2	AF129-Bn-Y2-P4	3.68	186.4
AF130-Bn-Y2	AF130-Bn-Y2-P1	3.48	312.22
AF130-Bn-Y2	AF130-Bn-Y2-P2	3.71	361.76
AF130-Bn-Y2	AF130-Bn-Y2-P3	4.1	110.85
AF130-Bn-Y2	AF130-Bn-Y2-P4	2.79	361.66
AF131-Bn-Y2	AF131-Bn-Y2-P1	3.55	354.2
AF131-Bn-Y2	AF131-Bn-Y2-P2	3.31	338.37
AF131-Bn-Y2	AF131-Bn-Y2-P3	3.89	511.54
AF131-Bn-Y2	AF131-Bn-Y2-P4	3.73	376.37
AF132-Bn-Y2	AF132-Bn-Y2-P1	4.42	582.72
AF132-Bn-Y2	AF132-Bn-Y2-P2	3.71	565.95
AF132-Bn-Y2	AF132-Bn-Y2-P3	3.96	530.23
AF132-Bn-Y2	AF132-Bn-Y2-P4	4	589.38
