FIELD_ID1_Label	AGRICULTURE1_CROP	AGRICULTURE1_AGRI_TYPE	SOILS69_MAGNESIUM	SOILS69_CALCIUM
AF036-Bn-Y1	Bn	CONVENTIONAL	11.51	61.84
AF043-Bn-Y1	Bn	CONVENTIONAL	4.48	38.23
AF032-Bn-Y1	Bn	REASONABLE	12.57	99.62
AF045-Bn-Y1	Bn	CONVENTIONAL	14.56	106.78
AF041-Bn-Y1	Bn	CONVENTIONAL	3.3	44.79
AF031-Bn-Y1	Bn	REASONABLE	4.99	60.03
AF042-Bn-Y1	Bn	CONVENTIONAL	7.58	65.95999999999999
AF034-Bn-Y1	Bn	ORGANIC	6.08	69.86
AF044-Bn-Y1	Bn	CONVENTIONAL	25.7	90.84999999999999
AF037-Bn-Y1	Bn	CONVENTIONAL	13.94	74.69
AF090-Ta-Y1	Ta	CONVENTIONAL	23.24	115.15
AF096-Ta-Y1	Ta	CONVENTIONAL	18.23	91.55
AF085-Ta-Y1	Ta	CONVENTIONAL	6.77	60.53
AF093-Ta-Y1	Ta	ORGANIC	2.61	25.04
AF083-Ta-Y1	Ta	CONVENTIONAL	2.49	27.67
AF092-Ta-Y1	Ta	CONVENTIONAL	3.57	35.74
AF095-Ta-Y1	Ta	REASONABLE	3.42	36.48
AF088-Ta-Y1	Ta	REASONABLE	19.93	112.29
AF099-Ta-Y1	Ta	ORGANIC	10.91	46.19
AF039-Bn-Y1	Bn	ORGANIC	13.75	
AF035-Bn-Y1	Bn	ORGANIC	24.22	
AF046-Bn-Y1	Bn	CONVENTIONAL	10.1	
AF033-Bn-Y1	Bn	REASONABLE	6	
AF040-Bn-Y1	Bn	ORGANIC	4.2	
AF047-Bn-Y1	Bn	CONVENTIONAL	10.87	
AF038-Bn-Y1	Bn	ORGANIC	23.77	
AF091-Ta-Y1	Ta	CONVENTIONAL	8.98	
AF084-Ta-Y1	Ta	ORGANIC	11.62	
AF080-Ta-Y1	Ta	ORGANIC	35.46	
AF097-Ta-Y1	Ta	CONVENTIONAL	23.58	
AF087-Ta-Y1	Ta	CONVENTIONAL	17.26	
AF098-Ta-Y1	Ta	ORGANIC	48.94	
AF086-Ta-Y1	Ta	CONVENTIONAL	8.91	
AF094-Ta-Y1	Ta	ORGANIC	26.61	
AF082-Ta-Y1	Ta	ORGANIC	9.380000000000001	
AF089-Ta-Y1	Ta	ORGANIC	12.37	
AF048-Bn-Y1	Bn	CONVENTIONAL		
AF081-Ta-Y1	Ta	ORGANIC		
