FIELD_ID1_Label	FIELD_ID1_CAMPAIGN	LOCATION1_REGION	AGRICULTURE1_SOIL_MANAGMENT	AGRICULTURE1_CROP	AGRICULTURE1_AGRI_TYPE	FIELD_SUB_ID1_SEASON	SOILS69_NITROGEN_TOTAL	SOILS69_PH	SOILS69_ORGANIC_MATTER	SOILS69_PHOSPHATE
AF016-Bn-Y1	Y1	EAST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	0.77	6.7	16.512	105.5
AF017-Bn-Y1	Y1	EAST	PLOUGHING	Bn	CONVENTIONAL	S1	2.46	8.1	44.548	62.4
AF020-Bn-Y1	Y1	EAST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	2.44	8	42.14	29.1
AF025-Bn-Y1	Y1	EAST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.15	6.5	22.704	59
AF027-Bn-Y1	Y1	EAST	SHALLOW_TILLAGE	Bn	CONVENTIONAL	S1	1.55	6.9	29.928	66.2
AF028-Bn-Y1	Y1	EAST	SHALLOW_TILLAGE	Bn	CONVENTIONAL	S1	1.04	6.8	22.016	63.1
AF029-Bn-Y1	Y1	EAST	SHALLOW_TILLAGE	Bn	CONVENTIONAL	S1	1.7	7.8	35.604	60.4
AF030-Bn-Y1	Y1	EAST	SHALLOW_TILLAGE	Bn	CONVENTIONAL	S1	1.38	7.6	34.4	148.5
AF069-Ta-Y1	Y1	EAST	DIRECT_DRILLING	Ta	CONVENTIONAL	S1	3.89	6.7	58.48	54.6
AF070-Ta-Y1	Y1	EAST	DIRECT_DRILLING	Ta	CONVENTIONAL	S1	2.39	8.1	36.98	39.6
AF069-Ta-Y1	Y1	EAST	DIRECT_DRILLING	Ta	CONVENTIONAL	S2	4.49	6.4	77.744	153
AF070-Ta-Y1	Y1	EAST	DIRECT_DRILLING	Ta	CONVENTIONAL	S2	2.41	8.1	41.624	115
AF036-Bn-Y1	Y1	SOUTH	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.08	6.7	18.404	24
AF037-Bn-Y1	Y1	SOUTH	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.25	6.5	23.392	33.8
AF042-Bn-Y1	Y1	SOUTH	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	0.93	6	17.372	29.8
AF043-Bn-Y1	Y1	SOUTH	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	0.99	6.2	17.544	48.4
AF044-Bn-Y1	Y1	SOUTH	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	0.82	5.7	14.792	48.6
AF091-Ta-Y1	Y1	SOUTH	DIRECT_DRILLING	Ta	CONVENTIONAL	S1	0.93	5.5	13.76	60.7
AF092-Ta-Y1	Y1	SOUTH	DIRECT_DRILLING	Ta	CONVENTIONAL	S1	1.31	6.4	19.952	107.4
AF091-Ta-Y1	Y1	SOUTH	DIRECT_DRILLING	Ta	CONVENTIONAL	S2	1.22	7	19.608	173
AF092-Ta-Y1	Y1	SOUTH	DIRECT_DRILLING	Ta	CONVENTIONAL	S2	0.89	5.5	16.34	200
AF001-Bn-Y1	Y1	WEST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.61	6.8	29.412	108.8
AF002-Bn-Y1	Y1	WEST	PLOUGHING	Bn	CONVENTIONAL	S1	1.29	6.4	25.972	90.59999999999999
