FIELD_ID1_Label	FIELD_ID1_CAMPAIGN	LOCATION1_REGION	PLOT_ID_ANNUAL1_Label	YIELDS87_DRY_WEIGHT_1000_SEEDS	YIELDS87_DRY_WEIGHT
AF100-Bn-Y2	Y2	EAST	AF100-Bn-Y2-P1	3.48	312.22
AF100-Bn-Y2	Y2	EAST	AF100-Bn-Y2-P2	3.71	361.76
AF100-Bn-Y2	Y2	EAST	AF100-Bn-Y2-P3	4.1	110.85
AF100-Bn-Y2	Y2	EAST	AF100-Bn-Y2-P4	2.79	361.66
AF101-Bn-Y2	Y2	EAST	AF101-Bn-Y2-P1	3.55	354.2
AF101-Bn-Y2	Y2	EAST	AF101-Bn-Y2-P2	3.31	338.37
AF101-Bn-Y2	Y2	EAST	AF101-Bn-Y2-P3	3.89	511.54
AF101-Bn-Y2	Y2	EAST	AF101-Bn-Y2-P4	3.73	376.37
AF102-Bn-Y2	Y2	EAST	AF102-Bn-Y2-P1	4.42	582.72
AF102-Bn-Y2	Y2	EAST	AF102-Bn-Y2-P2	3.71	565.95
AF102-Bn-Y2	Y2	EAST	AF102-Bn-Y2-P3	3.96	530.23
AF102-Bn-Y2	Y2	EAST	AF102-Bn-Y2-P4	4	589.38
AF103-Bn-Y2	Y2	EAST	AF103-Bn-Y2-P1	3.27	121.93
AF103-Bn-Y2	Y2	EAST	AF103-Bn-Y2-P2	3.39	138.68
AF103-Bn-Y2	Y2	EAST	AF103-Bn-Y2-P3	3.23	160.99
AF103-Bn-Y2	Y2	EAST	AF103-Bn-Y2-P4	3.39	169.2
AF104-Bn-Y2	Y2	EAST	AF104-Bn-Y2-P1	3.59	199.69
AF104-Bn-Y2	Y2	EAST	AF104-Bn-Y2-P2	3.33	223.4
AF104-Bn-Y2	Y2	EAST	AF104-Bn-Y2-P3	3.8	139.43
AF104-Bn-Y2	Y2	EAST	AF104-Bn-Y2-P4	3.89	213.56
AF105-Bn-Y2	Y2	EAST	AF105-Bn-Y2-P1	3.58	337.29
AF105-Bn-Y2	Y2	EAST	AF105-Bn-Y2-P2	3.28	122.33
AF105-Bn-Y2	Y2	EAST	AF105-Bn-Y2-P3	3.81	209.8
AF105-Bn-Y2	Y2	EAST	AF105-Bn-Y2-P4	3.56	369.79
AF106-Bn-Y2	Y2	EAST	AF106-Bn-Y2-P1	3.33	38.55
AF106-Bn-Y2	Y2	EAST	AF106-Bn-Y2-P2	3.81	4.1
AF106-Bn-Y2	Y2	EAST	AF106-Bn-Y2-P3	3.2	26.84
AF106-Bn-Y2	Y2	EAST	AF106-Bn-Y2-P4	3.74	29.36
AF107-Bn-Y2	Y2	EAST	AF107-Bn-Y2-P1	3.85	64.72
AF107-Bn-Y2	Y2	EAST	AF107-Bn-Y2-P2	3.55	128.12
AF107-Bn-Y2	Y2	EAST	AF107-Bn-Y2-P3	3.64	36.28
AF107-Bn-Y2	Y2	EAST	AF107-Bn-Y2-P4	4.9	59.28
AF108-Bn-Y2	Y2	EAST	AF108-Bn-Y2-P1	3.59	397.63
AF108-Bn-Y2	Y2	EAST	AF108-Bn-Y2-P2	3.76	423
AF108-Bn-Y2	Y2	EAST	AF108-Bn-Y2-P3	3.57	409.88
AF108-Bn-Y2	Y2	EAST	AF108-Bn-Y2-P4	NA	NA
AF109-Bn-Y2	Y2	EAST	AF109-Bn-Y2-P1	3.45	352.88
AF109-Bn-Y2	Y2	EAST	AF109-Bn-Y2-P2	3.11	407.2
AF109-Bn-Y2	Y2	EAST	AF109-Bn-Y2-P3	3.86	436.04
AF109-Bn-Y2	Y2	EAST	AF109-Bn-Y2-P4	NA	NA
AF110-Bn-Y2	Y2	EAST	AF110-Bn-Y2-P1	3.61	242.24
AF110-Bn-Y2	Y2	EAST	AF110-Bn-Y2-P2	3.71	227.28
AF110-Bn-Y2	Y2	EAST	AF110-Bn-Y2-P3	3.81	182.26
AF110-Bn-Y2	Y2	EAST	AF110-Bn-Y2-P4	4.18	585.95
AF111-Bn-Y2	Y2	EAST	AF111-Bn-Y2-P1	3.73	88.66
AF111-Bn-Y2	Y2	EAST	AF111-Bn-Y2-P2	3.18	66.18000000000001
AF111-Bn-Y2	Y2	EAST	AF111-Bn-Y2-P3	3.8	88.36
AF111-Bn-Y2	Y2	EAST	AF111-Bn-Y2-P4	3.6	229.12
AF112-Bn-Y2	Y2	EAST	AF112-Bn-Y2-P1	3.51	184.95
AF112-Bn-Y2	Y2	EAST	AF112-Bn-Y2-P2	3.9	310.83
AF112-Bn-Y2	Y2	EAST	AF112-Bn-Y2-P3	3.49	198.49
AF112-Bn-Y2	Y2	EAST	AF112-Bn-Y2-P4	3.51	159.2
AF113-Bn-Y2	Y2	EAST	AF113-Bn-Y2-P1	3.64	122.3
AF113-Bn-Y2	Y2	EAST	AF113-Bn-Y2-P2	3.71	246.8
AF113-Bn-Y2	Y2	EAST	AF113-Bn-Y2-P3	3.54	212.34
AF113-Bn-Y2	Y2	EAST	AF113-Bn-Y2-P4	3.68	186.4
AF114-Bn-Y2	Y2	EAST	AF114-Bn-Y2-P1	3.5	100.88
AF114-Bn-Y2	Y2	EAST	AF114-Bn-Y2-P2	3.83	183.86
AF114-Bn-Y2	Y2	EAST	AF114-Bn-Y2-P3	3.85	192
AF114-Bn-Y2	Y2	EAST	AF114-Bn-Y2-P4	3.75	225.17
AF115-Bn-Y2	Y2	EAST	AF115-Bn-Y2-P1	3.58	97
AF115-Bn-Y2	Y2	EAST	AF115-Bn-Y2-P2	3.22	592.4299999999999
AF115-Bn-Y2	Y2	EAST	AF115-Bn-Y2-P3	3.94	157.95
AF115-Bn-Y2	Y2	EAST	AF115-Bn-Y2-P4	3.93	166.4
AF116-Bn-Y2	Y2	EAST	AF116-Bn-Y2-P1	3.48	312.22
AF116-Bn-Y2	Y2	EAST	AF116-Bn-Y2-P2	3.71	361.76
AF116-Bn-Y2	Y2	EAST	AF116-Bn-Y2-P3	4.1	110.85
AF116-Bn-Y2	Y2	EAST	AF116-Bn-Y2-P4	2.79	361.66
AF117-Bn-Y2	Y2	EAST	AF117-Bn-Y2-P1	3.55	354.2
AF117-Bn-Y2	Y2	EAST	AF117-Bn-Y2-P2	3.31	338.37
AF117-Bn-Y2	Y2	EAST	AF117-Bn-Y2-P3	3.89	511.54
AF117-Bn-Y2	Y2	EAST	AF117-Bn-Y2-P4	3.73	376.37
AF152-Ta-Y2	Y2	EAST	AF152-Ta-Y2-P1	3.61	242.24
AF152-Ta-Y2	Y2	EAST	AF152-Ta-Y2-P2	3.71	227.28
AF152-Ta-Y2	Y2	EAST	AF152-Ta-Y2-P3	3.81	182.26
AF152-Ta-Y2	Y2	EAST	AF152-Ta-Y2-P4	4.18	585.95
AF153-Ta-Y2	Y2	EAST	AF153-Ta-Y2-P1	3.58	337.29
AF153-Ta-Y2	Y2	EAST	AF153-Ta-Y2-P2	3.28	122.33
AF153-Ta-Y2	Y2	EAST	AF153-Ta-Y2-P3	3.81	209.8
AF153-Ta-Y2	Y2	EAST	AF153-Ta-Y2-P4	3.56	369.79
AF154-Ta-Y2	Y2	EAST	AF154-Ta-Y2-P1	3.73	88.66
AF154-Ta-Y2	Y2	EAST	AF154-Ta-Y2-P2	3.18	66.18000000000001
AF154-Ta-Y2	Y2	EAST	AF154-Ta-Y2-P3	3.8	88.36
AF154-Ta-Y2	Y2	EAST	AF154-Ta-Y2-P4	3.6	229.12
AF155-Ta-Y2	Y2	EAST	AF155-Ta-Y2-P1	32.51	434.08
AF155-Ta-Y2	Y2	EAST	AF155-Ta-Y2-P2	31.54	348.53
AF155-Ta-Y2	Y2	EAST	AF155-Ta-Y2-P3	29.11	564.6
AF155-Ta-Y2	Y2	EAST	AF155-Ta-Y2-P4	33.23	453.24
AF156-Ta-Y2	Y2	EAST	AF156-Ta-Y2-P1	36.17	343.82
AF156-Ta-Y2	Y2	EAST	AF156-Ta-Y2-P2	33.44	365.25
AF156-Ta-Y2	Y2	EAST	AF156-Ta-Y2-P3	35.04	391.75
AF156-Ta-Y2	Y2	EAST	AF156-Ta-Y2-P4	36.72	443.11
AF157-Ta-Y2	Y2	EAST	AF157-Ta-Y2-P1	35.82	210.71
AF157-Ta-Y2	Y2	EAST	AF157-Ta-Y2-P2	38.21	199.21
AF157-Ta-Y2	Y2	EAST	AF157-Ta-Y2-P3	37.18	307.09
AF157-Ta-Y2	Y2	EAST	AF157-Ta-Y2-P4	39.53	287.8
AF158-Ta-Y2	Y2	EAST	AF158-Ta-Y2-P1	39.58	506.11
AF158-Ta-Y2	Y2	EAST	AF158-Ta-Y2-P2	37.44	632.64
AF158-Ta-Y2	Y2	EAST	AF158-Ta-Y2-P3	35.22	500.28
AF158-Ta-Y2	Y2	EAST	AF158-Ta-Y2-P4	37.46	421.52
AF159-Ta-Y2	Y2	EAST	AF159-Ta-Y2-P1	33.46	300.7
AF159-Ta-Y2	Y2	EAST	AF159-Ta-Y2-P2	33.01	263.75
AF159-Ta-Y2	Y2	EAST	AF159-Ta-Y2-P3	34.23	328.89
AF159-Ta-Y2	Y2	EAST	AF159-Ta-Y2-P4	34.76	311.4
AF160-Ta-Y2	Y2	EAST	AF160-Ta-Y2-P1	31.55	286.47
AF160-Ta-Y2	Y2	EAST	AF160-Ta-Y2-P2	32.95	478
AF160-Ta-Y2	Y2	EAST	AF160-Ta-Y2-P3	29.24	530.74
AF160-Ta-Y2	Y2	EAST	AF160-Ta-Y2-P4	26.92	414.01
AF161-Ta-Y2	Y2	EAST	AF161-Ta-Y2-P1	39.06	284.51
AF161-Ta-Y2	Y2	EAST	AF161-Ta-Y2-P2	36.02	287.8
AF161-Ta-Y2	Y2	EAST	AF161-Ta-Y2-P3	38.2	224.77
AF161-Ta-Y2	Y2	EAST	AF161-Ta-Y2-P4	39.53	285.6
AF162-Ta-Y2	Y2	EAST	AF162-Ta-Y2-P1	28.05	616.03
AF162-Ta-Y2	Y2	EAST	AF162-Ta-Y2-P2	31.68	509.25
AF162-Ta-Y2	Y2	EAST	AF162-Ta-Y2-P3	33.12	750.46
AF162-Ta-Y2	Y2	EAST	AF162-Ta-Y2-P4	31.01	536.65
AF163-Ta-Y2	Y2	EAST	AF163-Ta-Y2-P1	34.46	332.6
AF163-Ta-Y2	Y2	EAST	AF163-Ta-Y2-P2	34.21	447
AF163-Ta-Y2	Y2	EAST	AF163-Ta-Y2-P3	32.87	529.08
AF163-Ta-Y2	Y2	EAST	AF163-Ta-Y2-P4	36.2	575
AF164-Ta-Y2	Y2	EAST	AF164-Ta-Y2-P1	30.74	242.17
AF164-Ta-Y2	Y2	EAST	AF164-Ta-Y2-P2	31.77	218.8
AF164-Ta-Y2	Y2	EAST	AF164-Ta-Y2-P3	31.69	324.5
AF164-Ta-Y2	Y2	EAST	AF164-Ta-Y2-P4	30.26	283.27
AF165-Ta-Y2	Y2	EAST	AF165-Ta-Y2-P1	32.04	500.5
AF165-Ta-Y2	Y2	EAST	AF165-Ta-Y2-P2	29.26	530.72
AF165-Ta-Y2	Y2	EAST	AF165-Ta-Y2-P3	31.68	581.91
AF165-Ta-Y2	Y2	EAST	AF165-Ta-Y2-P4	28.58	453.61
AF166-Ta-Y2	Y2	EAST	AF166-Ta-Y2-P1	25.98	505.1
AF166-Ta-Y2	Y2	EAST	AF166-Ta-Y2-P2	25.02	408.51
AF166-Ta-Y2	Y2	EAST	AF166-Ta-Y2-P3	22.58	367.4
AF166-Ta-Y2	Y2	EAST	AF166-Ta-Y2-P4	24.77	337.88
AF167-Ta-Y2	Y2	EAST	AF167-Ta-Y2-P1	23.94	434.72
