FIELD_ID1_Label	FIELD_ID1_CAMPAIGN	LOCATION1_REGION	PLOT_ID_ANNUAL1_Label	YIELDS87_DRY_WEIGHT_1000_SEEDS	YIELDS87_DRY_WEIGHT	AGRICULTURE1_Label	AGRICULTURE1_SOIL_MANAGMENT	AGRICULTURE1_CROP	AGRICULTURE1_AGRI_TYPE
AF163-Ta-Y2	Y2	EAST	AF163-Ta-Y2-P1	34.46	332.6	AGRITYPE-162	DIRECT_DRILLING	Ta	CONVENTIONAL
AF163-Ta-Y2	Y2	EAST	AF163-Ta-Y2-P2	34.21	447	AGRITYPE-162	DIRECT_DRILLING	Ta	CONVENTIONAL
AF163-Ta-Y2	Y2	EAST	AF163-Ta-Y2-P3	32.87	529.08	AGRITYPE-162	DIRECT_DRILLING	Ta	CONVENTIONAL
AF163-Ta-Y2	Y2	EAST	AF163-Ta-Y2-P4	36.2	575	AGRITYPE-162	DIRECT_DRILLING	Ta	CONVENTIONAL
AF164-Ta-Y2	Y2	EAST	AF164-Ta-Y2-P1	30.74	242.17	AGRITYPE-163	DIRECT_DRILLING	Ta	CONVENTIONAL
AF164-Ta-Y2	Y2	EAST	AF164-Ta-Y2-P2	31.77	218.8	AGRITYPE-163	DIRECT_DRILLING	Ta	CONVENTIONAL
AF164-Ta-Y2	Y2	EAST	AF164-Ta-Y2-P3	31.69	324.5	AGRITYPE-163	DIRECT_DRILLING	Ta	CONVENTIONAL
AF164-Ta-Y2	Y2	EAST	AF164-Ta-Y2-P4	30.26	283.27	AGRITYPE-163	DIRECT_DRILLING	Ta	CONVENTIONAL
AF100-Bn-Y2	Y2	EAST	AF100-Bn-Y2-P1	3.48	312.22	AGRITYPE-49	DIRECT_DRILLING	Bn	CONVENTIONAL
AF100-Bn-Y2	Y2	EAST	AF100-Bn-Y2-P2	3.71	361.76	AGRITYPE-49	DIRECT_DRILLING	Bn	CONVENTIONAL
AF100-Bn-Y2	Y2	EAST	AF100-Bn-Y2-P3	4.1	110.85	AGRITYPE-49	DIRECT_DRILLING	Bn	CONVENTIONAL
AF100-Bn-Y2	Y2	EAST	AF100-Bn-Y2-P4	2.79	361.66	AGRITYPE-49	DIRECT_DRILLING	Bn	CONVENTIONAL
AF101-Bn-Y2	Y2	EAST	AF101-Bn-Y2-P1	3.55	354.2	AGRITYPE-50	DIRECT_DRILLING	Bn	CONVENTIONAL
AF101-Bn-Y2	Y2	EAST	AF101-Bn-Y2-P2	3.31	338.37	AGRITYPE-50	DIRECT_DRILLING	Bn	CONVENTIONAL
AF101-Bn-Y2	Y2	EAST	AF101-Bn-Y2-P3	3.89	511.54	AGRITYPE-50	DIRECT_DRILLING	Bn	CONVENTIONAL
AF101-Bn-Y2	Y2	EAST	AF101-Bn-Y2-P4	3.73	376.37	AGRITYPE-50	DIRECT_DRILLING	Bn	CONVENTIONAL
AF102-Bn-Y2	Y2	EAST	AF102-Bn-Y2-P1	4.42	582.72	AGRITYPE-51	DIRECT_DRILLING	Bn	CONVENTIONAL
AF102-Bn-Y2	Y2	EAST	AF102-Bn-Y2-P2	3.71	565.95	AGRITYPE-51	DIRECT_DRILLING	Bn	CONVENTIONAL
AF102-Bn-Y2	Y2	EAST	AF102-Bn-Y2-P3	3.96	530.23	AGRITYPE-51	DIRECT_DRILLING	Bn	CONVENTIONAL
AF102-Bn-Y2	Y2	EAST	AF102-Bn-Y2-P4	4	589.38	AGRITYPE-51	DIRECT_DRILLING	Bn	CONVENTIONAL
AF103-Bn-Y2	Y2	EAST	AF103-Bn-Y2-P1	3.27	121.93	AGRITYPE-52	DIRECT_DRILLING	Bn	CONVENTIONAL
AF103-Bn-Y2	Y2	EAST	AF103-Bn-Y2-P2	3.39	138.68	AGRITYPE-52	DIRECT_DRILLING	Bn	CONVENTIONAL
AF103-Bn-Y2	Y2	EAST	AF103-Bn-Y2-P3	3.23	160.99	AGRITYPE-52	DIRECT_DRILLING	Bn	CONVENTIONAL
AF103-Bn-Y2	Y2	EAST	AF103-Bn-Y2-P4	3.39	169.2	AGRITYPE-52	DIRECT_DRILLING	Bn	CONVENTIONAL
