FIELD_ID1_Label	FIELD_ID1_CAMPAIGN	AGRICULTURE1_SOIL_MANAGMENT	AGRICULTURE1_CROP	AGRICULTURE1_AGRI_TYPE	AGRICULTURE1_LIVESTOCK	FIELD_SUB_ID1_SEASON	PLOT_ID_SEASONAL1_Label	WEEDS1_PHENOLOGY_STAGE	WEEDS1_WEED_SPECIES	WEEDS1_DENSITY_CLASS
AF036-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S2	AF036-Bn-Y1-S2-PD	C	SONAS	-3
AF037-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S2	AF037-Bn-Y1-S2-PB	B	SONAS	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PA	B	GERDI	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PA	C	DAUCA	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PA	C	ERISS	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PA	C	MEDSA	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PA	C	SOLNI	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PA	C	TRFRE	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PA	C	VICFX	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PA	E	ECHCG	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PB	B	DAUCA	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PB	B	GERDI	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PB	B	LOTCO	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PB	C	TRFRE	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PB	C	VICFX	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PB	D	ERISS	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PB	E	ECHCG	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PC	B	LOTCO	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PC	C	MEDSA	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PC	D	ERISS	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PC	D	POLPE	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PC	E	ECHCG	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PD	B	GERDI	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PD	C	MEDSA	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PD	C	SOLNI	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PD	C	VICFX	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PD	D	ERISS	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PD	E	ECHCG	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF042-Bn-Y1-S1-PD	E	SENVU	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S2	AF042-Bn-Y1-S2-PA	B	3GRAC	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S2	AF042-Bn-Y1-S2-PB	B	3GRAC	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S2	AF042-Bn-Y1-S2-PC	D	SINAL	1
AF042-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S2	AF042-Bn-Y1-S2-PD	B	3GRAC	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PA	B	CIRAR	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PA	C	PAVSA	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PA	C	SETPU	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PA	C	TRFSS	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PA	E	CHEAL	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PA	E	POLLA	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PA	E	SENVU	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PB	B	CIRAR	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PB	C	CONAR	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PB	C	MEDSA	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PB	C	PAVSA	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PB	C	PICEC	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PB	C	TRFSS	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PB	D	AMARE	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PB	E	CHEAL	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PB	E	ECHCG	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PB	E	POLLA	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PC	B	CIRAR	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PC	C	CONAR	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PC	C	PICEC	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PC	C	SETPU	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PC	C	TRFSS	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PC	D	AMARE	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PC	D	PLALA	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PC	E	CHEAL	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PC	E	ECHCG	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PC	E	POLLA	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PD	B	CIRAR	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PD	B	PLALA	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PD	C	CONAR	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PD	C	PICEC	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PD	D	AMARE	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PD	E	CHEAL	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF043-Bn-Y1-S1-PD	E	POLLA	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S2	AF043-Bn-Y1-S2-PA	B	PAPRH	1
AF043-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S2	AF043-Bn-Y1-S2-PC	C	3GRAC	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PA	C	CONAR	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PA	C	HRYRA	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PA	C	PICSS	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PA	C	TRFSS	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PA	E	3GRAC	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PA	E	CHEAL	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PA	E	ECHCG	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PA	E	SENVU	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PA	E	SONSS	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PB	C	CONAR	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PB	C	MEDSA	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PB	C	PICSS	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PB	C	PLALA	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PB	D	SONSS	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PB	E	CHEAL	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PB	E	POLLA	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PB	E	SENVU	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PC	C	CONAR	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PC	C	ERISS	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PC	C	HRYRA	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PC	C	LACVI	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PC	C	PICSS	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PC	C	PLALA	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PC	C	SONSS	1
AF044-Bn-Y1	Y1	DIRECT_DRILLING	Bn	CONVENTIONAL	0	S1	AF044-Bn-Y1-S1-PC	D	SONSS	1
